id,"name",artist_id,"created_at","updated_at",display
260,"「良い奴」",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
261,"ええか！？",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
262,"エイティーン エモーション",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
263,"ミステリーナイト！",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
264,"地球は今日も愛を育む",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
265,"嗚呼 すすきの",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
266,"か〜てぃんこ〜るんるん",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
267,"ONE DAY",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
268,"叙情組曲「スマイルファンタジー」",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
269,"乙女の逆襲",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
270,"大器晩成",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
271,"魔法使いサリー",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
272,"臥薪嘗胆",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
273,"七転び八起き",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
274,"ドンデンガエシ",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
275,"出すぎた杭は打たれない",3,"2015-11-15 19:13:39","2015-11-15 19:13:39",1
276,"わたし",3,"2015-11-15 19:13:50","2015-11-15 19:13:50",1
277,"大きな愛でもてなして",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
278,"即 抱きしめて",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
279,"わっきゃない(Z)",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
280,"まっさらブルージーンズ",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
281,"桜チラリ",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
282,"JUMP",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
283,"僕らの輝き",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
284,"That's the POWER",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
285,"通学ベクトル",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
286,"ディスコ クイーン",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
287,"夏DOKI リップスティック",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
288,"めぐる恋の季節",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
289,"美少女心理",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
290,"都会っ子 純情",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
291,"私立共学",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
292,"LALALA 幸せの歌",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
293,"最高級のエンジョイGIRLS",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
294,"スイーーツ→→→ライブ",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
295,"乙女COCORO",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
296,"ほめられ伸び子のテーマ曲",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
297,"ドドンガドン音頭",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
298,"晴れのプラチナ通り",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
299,"イメージカラー",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
300,"涙の色",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
301,"ダーリン I LOVE YOU (℃-ute Ver.)",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
302,"「忘れたくない夏」",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
303,"江戸の手毬唄II",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
304,"FOREVER LOVE",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
305,"セブンティーンズ　VOW",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
306,"One's LIFE",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
307,"約束は特にしないわ",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
308,"SHINES",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
309,"Big dreams",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
310,"★憧れ My STAR★",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
311,"Yes! all my family",1,"2015-11-15 19:14:05","2015-11-15 19:14:05",1
